,Accuracy,EO Disparity
0,0.853333333,0.326373626
1,0.903,0.140903541
2,0.908333333,0.098687424
3,0.909333333,0.076495726
4,0.906666667,0.063736264
5,0.903666667,0.044352869
6,0.902333333,0.033821734
7,0.902333333,0.022710623
8,0.898,0.016117216
9,0.896666667,0.013919414
10,0.895333333,0.020054945
11,0.894,0.022863248
12,0.894,0.025671551
13,0.892666667,0.022924298
14,0.892333333,0.026831502
15,0.892,0.030738706
16,0.891333333,0.03021978
17,0.889666667,0.030250305
18,0.888,0.03028083
19,0.887333333,0.03003663
20,0.888666667,0.028937729
21,0.889666667,0.026739927
22,0.887333333,0.021794872
23,0.885666667,0.017948718
24,0.885,0.016605617
25,0.885333333,0.016605617
26,0.883666667,0.015506716
27,0.882666667,0.013858364
28,0.881666667,0.012942613
29,0.880333333,0.01019536
30,0.880333333,0.010744811
31,0.878666667,0.007997558
32,0.878666667,0.007997558
33,0.878666667,0.007997558
34,0.877666667,0.007264957
35,0.877666667,0.007448107
36,0.876333333,0.005982906
37,0.876333333,0.005982906
38,0.875666667,0.006898657
39,0.875333333,0.007081807